,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
January,62.75,69.38,61.12,58.14,69.17,152.08,100.33,100.03,130.61,97.62,82.14,49.19,43.46,54.04,58.68,79.35,101.2,105.81,122.33,108.39,126.85,197.35,188.9,135.38,110.75,148.24,110.89,139.07,115.6,101.56
February,67.01,70.55,55.51,57.32,72.37,152.24,110.5,121.89,130.78,92.36,76.15,49.38,44.3,54.07,59.87,89.4,97.39,104.18,138.82,107.6,123.37,216.03,182.29,131.51,137.81,141.1,111.75,137.68,114.19,100.67
March,75.25,72.47,56.48,54.76,76.11,162.73,105.89,137.47,119.93,89.4,73.49,48.51,49.49,49.61,60.8,101.44,92.76,100.09,136.17,105.87,125.3,224.33,167.77,131.38,165.03,127.04,117.83,134.07,112.99,97.50
April,75.34,71.45,53.64,51.38,81.19,159.59,107.09,142.2,119.66,85.71,69.53,47.31,50.2,51.87,58.8,98.2,94.2,99.3,126.55,111.61,126.89,231.24,160.46,129.55,170.58,129.02,117.93,130.39,112.56,94.42
May,73.30,67.47,49.27,54.18,108.42,155.96,110.24,180.44,114.23,89.51,69.23,49.38,47.3,53.19,59.91,99.78,90,100.09,126.76,123.05,128.1,227.97,157.68,126.96,163.94,123.49,119.91,125.4,113.34,93.33
June,69.91,65.58,48.13,54.54,127.91,141.66,105.79,155.38,103.84,86.4,64.56,46.53,45.56,48.9,64.28,96.29,86.04,107.03,130.51,119.05,142.2,215.58,145.31,117.58,151.92,124.97,127.05,122.39,110.44,99.97
July,68.36,64.31,48.70,60.61,191.44,132.71,99.97,135.04,97.32,78.2,64.08,43.07,44.7,50.89,58.46,88.48,88.57,106.2,132.78,112.9,153.41,210.36,159.07,118.93,152.5,119.77,132.98,127.26,107.2,103.01
August,74.10,63.34,45.89,67.69,181.53,141.7,102.73,132.63,101.25,77.22,57.58,42.76,42.79,52.22,56.98,85.31,95.78,107.98,131.14,117.45,157.46,212.19,148.5,116.45,163.08,121.21,131,128.24,102.41,96.07
September,75.55,66.86,47.11,71.64,202.39,124.76,96.52,132.51,95.82,71.94,57.3,41.17,47.96,54.1,61.47,78.79,95.98,113.2,126.69,116.4,163.61,213.04,151.28,111.82,161.79,113.14,138.22,124.46,98.17,97.74
October,73.89,62.83,52.88,67.78,185.64,120.02,98.56,121.09,95.01,76.36,56.39,42.21,50.79,51.72,61.1,82.55,95.53,115.71,108.31,121.09,161.56,193.9,147.12,107.03,172.88,118.43,142.68,120.01,111.21,97.35
November,70.10,64.30,57.49,70.03,168.12,117.99,97.14,118.16,98.26,88.22,52.17,44.24,54.68,49.8,67.74,85.93,103.48,114.43,107.88,119.67,173.9,193.66,136.35,100.99,162.17,115.03,145.82,117.26,109.59,107.23
December,72.83,63.07,64.00,71.50,149.14,99.57,90.04,130.02,100.73,95.62,48.27,43.35,51.69,52.44,77.72,86.85,108.01,118.16,103.07,124.96,184.26,189.02,131.31,106.56,150.66,114.63,131.7,114,100.61,117.37
