,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
January,70.36,75.59,62.03,67.13,71.42,162.81,127.54,127.28,179.83,99.43,97.68,62.38,43.14,49.31,62.06,93.63,114.98,112.5,127.93,109.18,131.67,219.77,228.21,145.17,114.02,163.5,121.21,145.7,123.67,102.94
February,77.59,79.39,58.05,66.34,80.14,161.07,144.05,160.21,177.78,91.72,91.51,62.5,43.17,48.97,65.52,106.11,109.01,110.03,143.78,107.69,124.57,247,215.4,136.63,148.74,151.9,122.24,145.5,120.83,100.06
March,86.17,83.83,59.6,62.6,84.72,171.48,140.99,179.75,154.84,88.9,89.93,60.35,48.7,43.77,66.97,120.12,103.92,104.91,136.41,102.81,126.21,260.98,192.03,133.61,182.97,133.55,130.38,139.67,119.8,95.81
April,87.45,81.58,54.94,54.92,87.14,166.54,132.92,183.73,141.11,86.14,86.46,55.11,49.52,48.55,63.7,114.48,105.49,102.22,127.67,105.95,125.71,273.4,180.9,132.62,190.62,136.7,128.1,136.09,118.76,92.47
May,86.31,75.56,51.11,57.26,118.37,161.72,134.76,209.62,124.89,96.29,87.23,57.19,45.39,51.12,65.16,114.96,99.29,101.49,129.52,118.4,127.32,268.66,174.17,130.29,181.97,130.38,129.05,131.21,119.57,91.95
June,82.94,72.44,49.08,55.7,136.43,145.22,125.44,184.21,104.09,91.69,78.32,51.86,43,46.88,69.61,107.23,93.27,107.32,133.65,115.42,143.2,250.59,156.17,120.01,165.34,130.51,138.38,123.71,115.1,100.69
July,78.94,69.24,48.53,65.76,211.81,139.68,106.93,158.52,96.22,78.13,79.89,46.43,43.3,49.5,62.89,96.56,94.56,106.24,134.88,107.8,156.87,245.69,175.98,119.47,164.92,123.64,144.76,129.19,110.54,105.43
August,90.25,68.15,46.4,73.25,192.38,149.54,108.28,158.25,101.92,76.67,70.57,46.49,40.18,52.48,61.75,94.98,100.37,111.73,133.28,116.86,163.21,249.83,160.05,116.81,183.32,127.24,141.41,131.93,104.46,95.85
September,92.2,75.08,49.43,75.58,212.73,130.26,103.1,167.77,92.76,70.43,71.14,42.42,44.53,54.86,68.9,89.48,99.53,117.14,130.26,116.16,175.15,255.64,166.53,112.65,182.15,117.83,149.8,129.67,99.87,98.72
October,85.78,65.91,59.64,71.65,191.21,127.23,105.77,152.12,91.32,78.74,72.28,38.63,46.08,52.81,69.91,94.4,99.23,122.12,110.27,124.62,175.38,234.28,161.2,109.57,197.05,127.47,153.15,124.55,115.59,98.1
November,77.46,66.03,64.64,74.2,172.83,125.33,103.76,149.07,96.67,98.41,68.95,42.82,49.25,50.73,79.39,97.96,110.04,119.87,107.96,126.17,190.62,236.75,148.25,102.57,181.43,122.95,157.72,124.28,113.27,109.94
December,80.17,62.14,74.39,74.51,159.73,110.46,103.71,171.12,100.28,109.47,64.39,42.21,46.55,54.79,91.76,97.57,117.36,125.93,103.46,132.84,204.25,228.79,140.69,107.4,166.58,123.73,137.14,121.47,102.1,126.36
