,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
January,82.07,91.55,78.40,71.61,85.85,177.23,119.08,146.18,184.21,123.07,130.13,75.33,62.51,67.27,73.76,108.22,126.92,126.07,142.66,142.32,207.51,279.88,255.91,169.19,132.90,185.26,135.21,164.96,143.77,129.28
February,91.55,94.21,71.75,72.45,93.04,175.07,134.94,188.62,190.59,116.92,124.73,76.70,62.67,67.47,76.53,121.56,121.31,123.82,159.90,144.55,204.71,296.44,244.14,161.70,172.22,174.11,137.17,163.67,141.50,127.93
March,103.24,99.36,73.67,67.07,93.23,185.75,130.6,212.96,166.07,117.05,119.51,76.94,68.27,62.15,77.97,135.54,116.01,118.33,151.64,154.16,205.71,300.68,222.84,161.53,211.07,154.29,145.20,158.40,139.45,125.23
April,101.79,97.27,69.55,59.77,97.53,180.3,134.31,199.22,158.17,114.02,112.67,78.25,69.63,64.40,75.22,129.51,117.87,116.11,142.04,181.10,199.50,312.95,214.46,161.76,220.62,157.06,143.66,154.97,139.29,124.42
May,99.14,91.51,64.93,67.35,133.90,177.18,142.56,318.5,146.33,123.95,110.31,80.92,65.95,65.73,77.17,128.87,111.81,115.01,143.60,212.05,200.33,302.17,207.32,158.35,211.66,150.19,144.49,151.41,140.26,124.40
June,96.01,90.18,64.10,68.13,151.85,170.89,133.25,227.15,135.83,121.45,100.30,74.38,62.94,61.61,82.51,121.29,105.83,121.20,149.15,196.32,224.49,287.95,184.67,147.55,195.17,152.02,156.86,146.12,138.55,133.49
July,92.45,88.02,62.50,76.40,222.75,157.22,135.39,190.57,125.03,107.05,101.67,69.70,60.60,64.88,76.13,110.79,107.85,120.78,151.18,187.29,235.52,285.21,202.56,147.46,194.21,144.52,164.46,152.51,133.92,137.63
August,103.30,88.09,56.49,84.18,210.61,163.21,137.68,193.46,129.45,105.28,91.87,73.50,58.10,65.65,75.35,108.94,114.14,125.22,151.03,185.39,243.98,286.97,187.14,143.26,211.60,146.96,160.78,155.15,129.99,129.20
September,102.21,91.95,56.18,86.58,231.52,141.49,123.3,196.29,117.56,97.77,89.98,68.80,64.15,67.55,81.02,101.15,111.88,130.37,148.36,177.45,247.77,287.54,190.10,138.60,206.78,135.55,168.85,151.47,125.74,131.91
October,97.20,82.88,64.77,83.02,206.07,132.08,127.77,169.4,115.01,103.69,90.25,62.87,67.92,66.17,83.02,106.21,112.67,136.49,130.99,178.13,230.02,257.66,181.39,133.83,222.59,143.10,172.28,144.26,140.83,132.09
November,92.38,82.43,71.72,85.56,186.96,129.09,129.41,161.38,121.74,126.76,84.01,64.89,70.70,64.39,92.83,109.00,123.95,133.32,130.45,178.33,244.02,256.99,170.08,124.65,206.41,138.63,177.85,144.09,139.27,146.12
December,97.06,79.70,81.52,87.33,173.94,110.47,126.41,183.32,123.96,140.35,75.81,62.33,65.38,66.68,105.75,107.69,131.41,140.12,130.89,192.11,261.97,251.60,164.40,126.54,190.16,139.89,156.64,141.62,127.86,161.50
