,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
January,76.02,85.93,73.41,69.39,78.95,172.62,110.65,132.86,177.80,112.96,111.11,65.98,58.25,65.57,72.73,107.16,124.20,124.53,139.86,128.30,158.90,263.77,237.21,157.29,132.73,190.00,145.03,168.61,138.81,128.46
February,83.95,89.21,68.45,67.65,83.93,169.79,124.09,168.37,178.18,105.48,103.44,67.19,59.11,66.41,76.20,120.86,119.12,122.03,157.29,129.48,157.86,287.89,224.16,149.46,173.64,178.89,147.70,166.35,136.28,128.45
March,94.73,93.56,70.37,63.62,87.06,179.43,120.84,194.70,157.65,105.39,100.73,66.50,64.47,61.75,78.06,135.03,113.66,117.08,149.89,128.52,164.50,292.07,201.26,149.78,214.09,160.74,157.50,160.15,135.03,123.89
April,94.71,91.96,65.92,57.87,90.57,174.40,123.50,206.99,150.35,102.11,94.61,66.13,65.29,64.69,75.44,129.53,115.42,114.60,140.70,134.88,169.24,300.12,191.45,149.81,223.48,164.00,154.22,155.40,134.34,121.13
May,92.97,87.88,60.86,62.18,121.88,171.01,129.27,267.27,137.72,111.07,94.15,69.22,61.40,66.26,76.99,128.37,109.36,113.24,141.95,150.99,173.28,291.09,184.65,147.19,214.20,158.48,155.19,150.00,135.61,120.55
June,89.15,85.78,59.09,62.50,143.43,154.49,125.46,222.02,124.93,107.21,86.44,63.90,58.56,61.04,82.21,121.16,103.15,119.33,146.15,149.79,190.90,274.98,168.69,138.26,197.89,159.76,165.45,143.22,134.03,129.73
July,86.65,83.24,58.20,71.81,218.89,145.66,122.47,190.41,117.60,94.84,87.35,58.72,56.48,62.95,74.94,109.93,105.00,117.63,147.36,140.90,203.21,268.02,190.45,138.39,196.90,154.45,171.76,149.66,130.60,135.47
August,94.43,81.77,52.93,76.92,200.44,153.21,126.22,190.80,123.21,91.36,76.91,59.71,54.27,63.89,73.61,108.20,111.73,123.19,146.43,149.76,211.59,270.44,174.82,135.15,212.97,156.92,167.54,149.88,125.21,126.23
September,95.39,87.06,53.23,80.77,222.00,134.46,118.70,189.87,111.85,84.31,75.78,58.06,60.66,66.41,80.47,99.49,109.83,128.04,143.27,148.53,222.71,274.88,178.98,132.28,210.53,146.15,176.30,146.56,121.18,128.89
October,91.58,79.77,61.57,76.64,201.85,127.27,124.20,167.66,109.72,94.20,76.65,56.40,65.73,64.29,80.55,105.05,110.63,134.29,123.59,154.57,217.64,247.82,173.32,128.70,225.29,153.25,178.96,140.71,137.34,126.99
November,84.72,78.20,67.31,78.60,182.91,125.25,124.07,160.27,116.36,113.38,71.54,58.85,69.87,62.27,90.27,107.74,122.27,131.00,121.89,152.21,233.48,245.09,159.91,122.02,209.38,147.98,184.12,140.90,137.11,140.98
December,89.18,75.35,77.19,81.19,168.54,106.24,117.02,177.44,117.39,124.46,66.15,56.72,64.16,64.85,104.12,105.77,128.44,137.58,118.97,158.16,248.17,236.71,152.74,125.97,193.60,148.66,161.78,137.42,127.10,157.11
