,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
January,49.47,52.83,48.83,46.90,59.39,131.54,89.99,67.19,83.41,82.29,53.18,32.40,22.81,41.18,39.84,36.96,63.39,79.13,99.21,82.74,70.08,101.09,96.72,99.69,87.73,98.01,74.71,108.32,88.65,78.24
February,50.06,51.87,42.57,46.99,60.80,134.69,96.89,75.40,83.36,79.23,48.86,31.58,24.37,40.67,37.05,41.24,62.98,79.08,115.45,80.22,67.88,109.35,101.93,104.03,95.90,98.36,74.04,106.49,89.24,78.65
March,55.76,51.37,42.59,45.90,65.16,146.03,90.94,80.23,82.19,73.42,46.25,30.52,29.06,37.17,36.70,49.51,59.60,77.00,121.92,76.31,67.25,118.13,103.57,106.26,105.37,92.16,75.60,106.73,88.18,76.96
April,55.95,50.93,41.36,44.88,71.82,144.78,90.67,77.39,88.97,69.32,44.45,28.49,29.31,37.42,36.37,50.75,60.55,79.58,111.29,75.53,71.52,117.37,101.80,101.68,105.55,92.06,80.18,103.58,88.31,73.28
May,53.62,47.06,37.68,46.17,94.95,140.90,91.20,93.60,90.74,67.94,44.32,29.55,28.31,37.80,36.56,56.07,60.08,83.91,108.88,75.62,70.61,121.98,106.88,99.18,102.99,87.56,83.93,98.36,88.74,71.12
June,50.67,45.38,37.17,46.57,112.38,128.82,86.11,88.74,82.73,65.59,42.68,29.16,28.42,34.21,39.87,60.02,60.23,92.68,111.34,73.79,76.92,117.95,105.70,90.79,98.91,90.25,85.94,101.95,86.07,74.02
July,50.07,45.38,39.19,49.40,164.00,119.76,77.46,79.65,77.04,61.56,40.82,27.42,28.60,35.35,36.02,57.88,64.49,92.51,115.23,71.68,85.27,112.73,107.06,95.21,101.79,87.12,90.82,104.94,84.42,73.93
August,53.78,44.90,38.85,58.46,162.61,130.18,79.22,74.45,79.29,63.07,38.25,25.81,27.88,36.30,33.91,51.97,73.59,87.44,112.56,72.35,82.68,112.07,106.52,94.01,100.25,85.78,91.79,104.52,80.74,70.78
September,55.70,46.66,40.98,62.50,182.78,115.05,74.34,75.15,79.80,59.57,38.83,24.27,32.08,37.35,34.24,46.87,77.11,92.78,105.38,73.82,81.28,106.06,104.95,87.78,100.52,81.50,96.88,99.18,76.70,70.64
October,56.21,45.88,44.19,58.92,169.43,112.76,72.92,74.52,80.30,58.52,36.14,23.23,33.32,35.88,31.67,47.53,75.17,91.10,88.77,73.51,85.27,98.10,104.47,83.70,104.70,82.78,103.65,98.39,85.32,68.63
November,55.48,50.40,47.67,61.46,153.33,110.73,70.20,76.04,80.16,63.06,32.81,23.67,37.89,34.11,32.71,51.45,76.79,92.59,90.76,69.48,92.04,97.24,97.67,79.71,103.06,81.74,103.72,91.33,83.52,73.28
December,56.46,50.79,50.81,61.81,129.73,92.89,63.06,82.60,84.06,66.79,30.38,24.42,38.06,35.90,36.92,56.39,76.67,91.39,82.51,69.89,94.09,98.41,96.59,87.89,98.43,79.28,101.85,87.59,77.57,73.22
