,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bolivia (Plurinational State of),51.7802,52.423,43.5276,27.3283,79.915,76.9867,57.1799,100.0689,131.0938,98.7076,78.0529,,,,,,,,,,,,225.6445,201.9723,239.2465,234.7937,271.7944,471.6169,455.146,858.2941
Burundi,58.0195,55.0206,59.234,58.2708,60.6823,56.6854,51.9721,52.7855,52.2187,46.5697,37.3535,32.1917,29.17,24.8803,27.357,42.9285,63.4535,80.3535,86.1923,85.6816,85.6928,,,,,,,,,
Cameroon,32.2852,28.2347,28.7593,23.251,88.3161,85.2593,80.9459,43.6415,66.8331,88.411,33.221,19.0898,24.5554,35.2702,,,,80.1917,79.1296,66.0498,,,,82.8733,,,,,70.7864,70.8467
Costa Rica,58.4893,52.7258,49.9093,54.2666,81.3628,88.2256,92.7809,98.2583,92.6592,79.5496,69.2837,46.6929,46.7441,52.9871,64.8733,83.4296,89.2238,98.6447,106.1749,106.8847,139.8577,180.2225,160.7291,124.6527,130.7748,145.8383,129.1077,138.0947,,
Cuba,171.4282,171.4282,179.9996,188.5711,203.5302,188.601,188.5711,188.5711,188.5711,188.5711,188.5711,188.5711,188.5711,168.9282,70.1784,70.7141,70.7141,47.1428,70.7141,70.7141,70.7141,70.7141,70.7141,221.9638,235.7138,235.7138,235.7138,235.7138,,
Democratic Republic of Congo,,,,,,51.1246,68.0387,85.0486,63.1381,,,,,,,,,,,,,,,,,,,62.369,62.369,62.369
Dominican Republic,66.055,62.6429,46.5612,53.1235,112.264,109.2636,87.671,166.4135,95.2485,74.1837,68.0127,42.0392,50.829,49.572,75.6965,87.9156,86.2942,87.1283,101.4508,106.0351,139.1288,191.0669,147.8066,140.9774,183.5634,171.008,177.1862,173.3619,153.6147,148.262
Ecuador,35.2113,36.1803,29.0799,27.6633,76.4202,173.3047,141.1327,167.9155,110.5961,78.046,65.9705,27.2816,27.3637,31.0615,51.194,91.6233,92.445,110.5232,145.036,147.0903,161.8815,227.2094,183.904,122.2432,100.4471,,,,,
El Salvador,50.5636,44.5445,30.9092,35.352,99.2603,100.5128,75.0201,125.1436,85.0455,56.9223,44.5482,17.6285,21.8368,25.6889,39.3039,67.097,67.4926,75.2353,86.0511,79.1937,109.8806,186.7382,120.1201,95.2784,117.0067,87.4489,89.5328,87.6174,74.5321,65.551
Guatemala,54.5845,57.5349,40.2309,41.4292,75.3208,99.34,83.7674,97.2509,102.4469,79.2374,70.3747,45.3452,49.6116,48.4242,66.9099,92.4642,91.1947,98.312,111.0286,109.643,144.7711,212.4147,165.9795,127.0596,152.8336,139.2173,135.4671,134.1238,122.1751,
Haiti,41.2845,23.9888,8.7513,14.4941,25.8735,36.2968,28.1373,29.3734,30.9468,22.895,22.4856,,,,,,,,,,,,,,,,,,,
Honduras,50.3496,56.1243,40.1384,37.5422,81.5661,102.5493,67.6608,116.8815,93.2578,61.4807,54.287,34.3176,37.056,41.7124,50.2225,78.6893,80.8164,81.632,90.5567,83.7151,125.1588,200.019,141.1476,101.7963,118.9403,110.9653,93.1681,90.7663,84.0447,72.3684
India,66.7522,61.5342,53.9595,57.9237,78.4057,84.7157,78.3183,130.1785,99.4736,67.4377,63.7456,43.8182,39.6095,43.4504,58.3193,96.5255,95.8634,108.0306,121.6958,136.8872,151.0778,228.4583,161.9762,117.0557,175.6491,157.0967,132.2063,135.7525,110.1196,105.9568
Jamaica,171.5513,227.4241,182.5115,255.535,290.5986,284.2448,332.1091,286.7807,215.4499,177.2662,208.4371,169.5941,237.5996,185.619,185.4223,244.6888,354.8887,343.0594,348.4808,295.9686,286.8197,302.6948,301.4442,,,,,,,
Madagascar,,,,,,87.3469,94.7194,58.7447,50.3483,43.491,155.8285,64.5937,72.5041,86.5775,46.8166,50.8012,,,,,,,,,,,,,,
Malawi,84.873,70.9354,48.6849,57.3368,92.4135,125.2991,95.6576,108.7488,101.5223,77.641,57.5992,46.4248,39.7883,39.621,51.6781,83.7134,84.5843,80.358,76.2341,91.3144,96.3484,,,,,,,,,
Mexico,79.5617,86.5563,58.2508,79.3121,157.9099,162.7935,123.4396,136.1169,101.6877,80.9028,64.0786,53.9753,45.0775,64.019,90.7787,139.0296,85.4966,90.9075,106.0489,,,,,,,,,,,
Nicaragua,,44.137,44.137,,,,,,,,,29.6521,30.1493,34.4183,40.8748,52.8824,58.6579,64.3645,71.0228,71.0177,78.5382,91.0278,60.8432,39.5233,71.8509,,,,,
Panama,49.304,47.2497,44.3736,51.7692,80.119,97.3754,100.9089,126.547,111.7558,,,,,,,,,,,,,,,,,,,,,
