,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Angola,85.6569,91.1153,44.9183,11.8708,,,,,,,51.7415,18.6135,10.7112,6.6089,9.923,10.4187,12.9824,36.0524,42.3165,40.1402,44.3889,48.2936,47.5127,31.3706,46.152,38.1767,78.3331,132.1367,100.4347,
Benin,53.7609,22.8961,24.0067,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,34.8486,27.4947,27.5947,35.5441,85.4261,97.4999,69.7791,77.8558,77.7473,56.9266,41.5274,19.3547,19.9937,31.6119,34.8484,46.4667,62.0285,78.9409,91.5772,73.4234,74.2175,105.2938,104.4046,85.2862,81.1637,73.5269,92.7777,98.2114,67.4212,56.4532
Burundi,,,47.1618,41.8018,41.4499,42.3356,40.4503,40.1863,35.3567,,,,,,,,,,,,,,,,,,,,,
Cameroon,28.3337,25.0078,24.2466,17.3955,29.8547,52.0795,51.0193,38.9016,36.4619,31.3028,30.4387,21.1299,16.0534,22.2637,,,,55.1318,52.5448,37.7428,,,,66.4339,,,,,45.2247,45.2632
Central African Republic,36.7471,36.6398,33.9318,23.8924,32.742,57.1888,45.0685,38.3562,37.8613,29.7146,18.2801,13.2225,11.942,18.0599,20.1724,,,45.3414,45.6902,43.5931,51.3974,72.7194,68.7288,,,40.0288,30.7434,,,
Congo,19.2087,18.5542,19.7491,18.4404,8.7749,27.2813,14.1896,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,33.4064,32.2682,31.7589,27.6964,29.7788,59.4027,57.6963,39.2871,40.1367,38.8128,23.8537,,8.9585,17.7064,14.7655,11.2288,27.9899,32.8384,51.8569,37.5209,22.4929,28.4045,46.294,56.9418,56.9712,49.8747,52.7617,58.5604,61.9708,
Democratic Republic of Congo,4.5201,,,,,28.3495,32.8854,45.3592,44.276,88.1768,45.042,7.9507,2.9573,5.6111,,,,,,,,,,,,,,45.3592,45.3595,45.3592
Ecuador,19.0602,17.8351,23.307,19.5204,63.2941,143.6162,97.5143,61.193,66.6301,47.4832,32.696,11.2578,11.9973,21.8581,29.7468,50.9623,53.7258,64.9046,79.2587,77.9858,80.548,95.2595,95.1173,76.3991,46.469,,,,,
Gabon,43.4284,43.5841,51.5195,48.1054,27.7637,40.9219,39.9081,37.9027,50.2608,59.0145,51.1065,47.9271,44.5843,,,,,,,91.9579,82.5789,88.9243,88.8971,91.8416,91.889,77.0689,,,,
Ghana,,,,,,,,,,,,,,,,,,,,,,18.4346,17.7237,21.3551,15.9379,24.1176,38.479,40.8853,,
Guinea,34.3722,30.2467,23.7512,27.4662,61.3323,92.2648,,,,,,,,,,,,,,,,,,,,,,,,
India,44.3451,40.6472,39.7709,44.2088,56.4636,66.5331,56.6737,76.3016,75.6198,57.6076,35.8731,23.4397,22.0776,28.5993,30.7952,52.4173,61.3522,79.3802,96.1168,73.1278,77.9592,109.6024,104.6512,94.8753,104.634,87.9485,82.712,94.968,78.4831,70.6774
Indonesia,29.6807,29.9209,24.9216,28.4882,91.3781,95.6672,58.3501,58.434,59.3709,46.5479,22.4016,13.5715,14.6522,16.6091,24.1702,34.2061,52.4731,55.8043,,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,32.4545,22.7618,22.6204,36.2656,43.9881,58.7292,61.0601,49.4841,48.2505,38.0546,109.0038,51.6628,55.6953,55.9203,19.74,30.2388,41.7147,69.5695,,,,,,,,,,,,
Nigeria,70.5228,59.0325,39.5004,36.0781,51.554,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,26.5984,29.4778,39.1005,54.8047,95.6374,66.3073,63.7485,75.4338,59.1507,37.6982,21.8897,12.0047,13.3144,17.3053,22.1559,24.3033,32.8919,23.9073,34.8969,27.5747,29.4453,37.6759,37.2408,24.0369,22.631,25.0961,21.5373,,,
Phillippines,34.2253,34.6061,42.4765,46.4492,94.6608,104.3144,68.9094,72.9149,76.6635,60.1365,34.1959,23.6346,21.4548,32.6523,31.8862,41.6909,55.3165,74.4775,88.332,69.3786,65.8679,108.3772,96.3769,90.1654,,,,,,
Sierra Leone,26.1686,,,,,,,,,,,,,,,,,,,,,18.828,31.8686,,,,,,,
Sri Lanka,26.8959,25.2906,31.8496,28.8866,71.9905,93.2376,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,17.007,17.1071,14.8403,11.8801,24.0035,44.6094,32.2006,92.4844,28.1884,23.5151,15.2928,5.2086,4.2981,6.7245,7.553,14.2734,21.4463,21.3788,35.3223,,,,,,,,,,,
