,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
   Austria,4.90,4.57,4.99,4.97,4.58,5.18,5.42,4.37,3.97,3.28,3.05,2.93,2.86,3.18,3.33,3.77,4.13,4.27,4.74,6.95,6.69,8.32,8.38,8.62,8.63,7.44,5.64,6.22,6.63,6.17
   Belgium,3.27,2.92,3.05,2.78,3.42,4.88,4.04,3.98,4.19,3.55,3.22,3.00,3.05,3.60,3.87,4.10,4.32,4.91,5.46,5.26,5.18,6.48,6.20,6.24,,,,,,
   Bulgaria,,,,,,,,,,,,,2.15,2.68,2.93,2.92,2.90,3.48,4.05,3.84,3.62,4.16,3.44,3.59,3.75,3.45,3.79,4.64,4.58,4.21
   Cyprus,2.83,2.80,2.87,2.60,3.18,4.26,4.13,4.04,4.61,4.39,3.58,3.58,4.05,4.92,5.23,5.28,5.34,5.76,5.67,5.53,5.21,6.06,6.36,6.47,6.48,5.30,5.30,5.50,5.79,5.39
   Czechia,,,,,,,,4.31,5.10,3.91,3.36,2.91,2.99,3.10,3.46,3.79,3.95,4.39,5.76,5.16,5.01,6.58,7.13,7.00,6.61,5.75,6.14,6.58,7.27,6.70
   Denmark,3.81,3.67,3.79,3.48,4.45,5.57,4.81,4.96,4.92,3.93,3.45,3.19,3.09,3.57,3.96,4.28,4.43,4.82,5.40,5.29,5.44,6.92,6.72,6.36,6.43,5.85,4.94,5.03,5.30,4.85
   Finland,2.98,2.72,2.46,1.94,2.73,3.97,3.22,3.50,3.42,2.60,2.29,1.98,1.84,2.13,2.34,2.84,2.94,3.25,3.72,3.51,3.69,5.36,4.80,4.29,4.31,3.90,3.67,4.10,4.24,4.00
   France,3.73,3.43,2.31,2.03,2.40,3.69,3.30,2.76,2.78,2.55,2.15,1.99,2.07,2.50,2.72,2.75,2.97,3.41,3.86,3.79,3.62,4.13,3.92,3.92,3.77,3.11,3.26,3.40,3.68,3.47
   Germany,3.99,3.84,4.00,3.62,4.18,5.02,4.17,4.03,4.04,3.42,2.83,2.63,2.73,3.18,3.33,4.06,4.33,4.69,5.13,4.75,4.76,5.10,4.74,5.65,5.72,5.18,5.05,5.34,5.49,
   Hungary,,,,,3.88,5.04,4.62,3.89,3.75,3.44,2.72,2.59,2.81,3.15,3.47,3.71,3.66,4.60,5.47,4.97,5.02,6.08,6.07,5.42,4.86,4.16,4.31,4.83,4.83,4.35
