,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Angola,50.345,79.331,77.52,32.608,76.802,62.109,70.925,64.33,85.344,54.939,49.785,20.69,56.64,38.013,14.77,24.965,35.095,35.631,37.61,13.42,34.97,28.715,32.79,34.935,39.405,40.515,44.83,35.006,41.9027,51.8419
Bolivia (Plurinational State of),122.777,103.536,120.235,50.823,116.944,142.485,124.579,140.719,137.985,157.702,147.604,94.016,126.668,103.323,154.8071,109.9692,146.4297,116.0292,120.4186,128.4751,117.2249,131.8354,105.2812,119.9122,99.8766,84.2191,77.9835,83.8112,82.5687,81.2654
Brazil,27285.6286,27293.4934,34603.3542,28166.9786,28192.047,18060.2022,29196.743,26148.004,36760.8533,47577.8065,31310.353,31365.0955,48351.634,28873.4093,39281.1457,32932.9797,48431.7338,38911.4571,51490.5177,43976.812,55428.4102,48591.8289,55418.0012,54688.9664,53304.7669,52870.5876,56788.1784,52739.8179,65130.7997,58210.7127
Burundi,487.393,667.199,620.238,393.354,664.143,433.98,400.969,249.785,491.992,350.55,487.46,143.982,453.732,337.858,437.036,103.315,498.5,132.856,411.7822,111.613,352.9776,204.1328,405.9615,163.2177,247.55,269.4576,196.4128,202.1079,204.3391,272.4688
Ecuador,1503.815,2123.824,1185.48,2069.007,2375.766,1888.233,1992.914,1190.663,1205.968,1197.6832,853.817,792.847,582.224,640.79,780.435,935.3007,1034.5199,950.4028,770.6473,813.2849,853.9798,825.4144,828.1024,665.545,644.0112,644.4926,644.8845,623.5744,496.0001,558.9352
Indonesia,7441.383,8493.196,5569.478,6743.288,5367.878,4573.429,8220.584,7620.778,7295.955,6557.0662,6987.2397,6833.356,6731.376,6404.076,7536.371,9158.9594,7482.6737,7776.5557,9612.3466,11379.6699,9128.5118,6888.9233,13070.0386,12900.9493,10946.2773,12585.4751,11541.0266,10852.3153,9617.5942,11432.9425
Madagascar,982.447,932.513,1121.684,441.859,641.372,785.009,849.008,623.804,991.799,427.317,362.1618,147.236,445.455,434.658,521.66,599.149,586.51,614.1661,727.6884,456.9613,529.7233,584.8528,499.7094,584.4758,501.4544,414.232,452.7566,404.1924,379.3768,383.3125
Malawi,104.628,124.286,137.161,62.111,84.112,91.235,48.65,60.82,64.321,59,63.138,60.39,42.464,48.155,20.615,24.416,16.663,18.812,20.753,16.922,16.9285,25.8264,22.8262,27.7944,24.7098,21.2015,19.516,14.4703,12.8656,16.0431
Papua New Guinea,962.841,746.816,900.111,1019.481,1138.659,1002.363,1089.348,1074.021,1352.149,1387.0519,1040.7392,1062.593,1085.147,1154.944,997.514,1268.1328,807.2202,967.7113,1027.6529,1037.9942,866.5184,1413.8545,716.488,835.3594,797.5642,711.9818,1171.1449,733.9382,930.369,751.721
Paraguay,130.627,79.653,54.291,66.5275,25.2643,26.2539,30.8431,49.3411,31.7401,18.9727,21.6077,22.1635,35.5806,47.4951,38.0519,43.7337,34.7537,38.6302,20.0149,20.0166,20.1967,20.0195,20.0065,20.0319,20.0195,20,20.0104,20.0013,20.0135,20.0038
Peru,936.632,1200.474,1761.953,665.497,1178.628,1870.939,1805.861,1929.959,2102.298,2743.533,2675.593,2828.946,3000.32,2685.986,3425.1559,2488.8349,4319.0586,3062.9307,3872.262,3286.0867,4068.823,5372.5296,4450.0478,4106.2383,2883.229,3303.5542,4222.8784,4279.0832,4263.3391,3836.3817
Rwanda,534.875,483.83,638.875,443.625,22.449,329.078,293.003,193.422,222.637,307.275,273.363,295.51,319.68,265.742,449.733,337.0107,351.013,224.0446,368.7282,258.9411,322.9191,251.071,258.5591,257.7282,238.3438,292.6292,231.0905,264.4524,379.8448,347.984
Timor-Leste,0,0,0,0,0,0,0,0,0,0,7.1279,32.8539,36.8093,41.8233,16.5932,23.5228,46.2077,36.3032,47.6918,46.9126,60.1017,47.3531,60.7483,80.2182,110.9242,59.1588,82.0206,64.8923,139.0966,103.0527
Zimbabwe,251.901,201.394,77.824,11.6,106.302,130.644,174.393,130.193,149.45,125.4843,108.523,121.042,110.121,91.649,120.3133,65.9299,45.149,31.2441,24.2492,21.3683,10.0859,8.8564,7.3208,8.6415,15.0124,14.2836,15.1183,6.8019,9.8786,9.0784
