,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cameroon,1682.484,1725.948,260.376,682.913,405.557,660.04,1432.189,888.942,1113.94,1369.824,1113.143,685.677,800.795,900.282,727.382,869.7157,818.1664,795.3046,724.9004,902.2813,527.1347,669.3245,371.0197,403.8311,483.1051,390.8379,291.8761,369.5529,309.5907,268.209
Central African Republic,175.274,124.781,133.845,165.574,249.512,108.065,207.831,114.354,214.582,240.682,113.313,68.172,92.094,42.73,28.715,23.1639,113.5037,43.467,59.616,112.109,78.462,91.325,22.89,90.104,62.614,100.018,36.7267,59.914,37.135,55.1383
Colombia,14396,17980.397,14946.878,11422.422,12964,12938.018,10778.85,12122.496,10867.962,9512.2459,10519.352,11950.283,11712.04,11052.624,11428.856,11952.2997,12164.1926,12515.0974,8664.2903,8097.5861,8522.6594,7653.3336,9926.9445,12124.0702,13333.3435,14008.7814,14634.3893,13824.0725,13865.962,14100.1182
Costa Rica,2561.885,2759.619,2997.974,2358.753,2481.942,2843.596,2221.915,2616.6,2445.12,2485.33,2418.536,2246.7,2043.413,1886.432,1875.8399,1652.5288,1706.0731,1797.1373,1499.918,1476.7476,1613.6996,1830.8955,1822.6906,1552.0761,1475.0612,1440.1724,1371.8963,1560.6803,1426.6568,1471.7632
Cote d'Ivoire,2940.363,4129.295,2245.536,2293.407,3006.444,2531.864,4858.592,4164.004,1991.547,6320.4388,4845.586,3596.116,3009.64,2981.252,2135.5998,2099.0447,2847.9404,1338.1445,2526.3263,1988.6994,836.724,2216.3419,1993.8367,2597.7673,1728.0433,1289.0845,1117.4045,1623.8487,2175.3233,1929.1972
Democratic Republic of Congo,1580.296,1229.902,1180.157,980.261,1297.805,1098.155,794.577,811.217,738.083,477.154,362.535,423.184,337.873,451.06,359.754,336.198,377.5227,415.9287,421.9583,345.8372,305.1575,356.5382,334.0453,347.087,334.871,370.6123,279.3877,381.7013,397.1427,390.6014
El Salvador,2464.864,2197.692,3001.301,2378.482,2293.468,2585.179,2533.568,2174.809,2054.628,2598.1449,1704.4498,1693.966,1361.376,1380.097,1196.873,1318.587,1233.661,1504.9911,1450.2264,1074.6297,1873.269,1163.7647,1239.5852,514.9996,664.9995,565,609.9996,759.6124,760.9228,660.6916
Equatorial Guinea,3.536,2.551,1.686,0,3.193,1.807,1.12,1.669,1.036,0.179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051,0.007,0
Ethiopia,2909.451,2924.664,1825.171,2967.004,2762.73,3165.322,3407.442,3056.864,2927.725,3784.051,3115.149,4044.24,4093.902,4393.717,5212.951,4779.486,5550.74,5966.6796,4948.9869,6830.199,5560.3848,5650.4099,6132.0066,6242.4439,6383.2618,6514.9754,7142.9796,7346.7332,7511.2234,7343.4329
Gabon,3.408,1.752,3.063,2.884,7.701,1.768,1.279,2.668,3.765,2.057,0,0.822,1.25,0.3,0.3,0.691,1.403,0.721,2.067,0.493,1.8323,0.782,0.751,0.383,0.517,0.741,0.5,0.2563,0.5325,0.5
Ghana,37.855,76.306,36.602,45.381,57.176,56.528,32.425,27.275,54.436,88.9011,76.456,7.285,33.6323,18.1419,18.1139,12.3749,20.2111,34.6644,26.4006,18.6085,69.4979,30.0625,20.8836,25.0741,35.3924,35.6548,26.1091,12.9667,14.7455,14.4733
Guatemala,3270.529,3496.531,4318.483,3535.501,3787.336,4001.604,4524.556,4219.373,4892.964,5120.1288,4939.753,3668.96,4069.953,3609.931,3703.026,3675.5298,3950.3303,4099.6768,3784.9658,3834.7868,3949.9335,3850.3876,3762.9331,3189.3714,3310.0759,3409.781,3684.209,3733.7261,4006.7343,3605.7644
Guinea,44.46,90.522,76.341,63.806,198.357,104.164,147.638,171.711,421.266,363.707,399.992,235.979,328.229,365.529,316.116,524.884,472.9477,322.6894,504.7819,499.2465,386.4609,385.5106,233.5545,101.1902,165.1077,286.4455,269.9426,229.1869,152.9537,178.3779
Guyana,0,0,0,0,0,0,0,0,5.9811,5.0876,2.8718,5.2563,5.2013,5.4252,6.0561,7.0144,7.5796,8.6174,9.8722,9.1767,9.1433,10.1884,9.7383,12.9412,9.3007,11.2231,9.6326,9.9283,9.9845,9.5059
Honduras,1567.958,2321.808,1918.209,1829.179,2180.73,1909.238,2004.388,2564.405,2195.145,2985.005,2666.658,3036.252,2495.886,2967.865,2575.144,3204.361,3461.2816,3639.7929,3449.9872,3602.9169,4330.6854,5882.1354,4685.9958,4583.0246,5268.2161,5785.776,7456.8976,7559.768,7152.8803,5931.22
India,2828.687,2999.749,2823.497,3533.181,3001.564,4012.026,3417.121,4108.756,4416.768,4866.5892,5019.7666,4810.413,4587.889,4708.272,4591.0102,4566.2898,4500.0734,4366.6594,4071.666,4826.6521,5599.9734,5333.5414,5403.4408,5075.3312,5449.867,5830.3381,6160.9436,5813.2238,5325.392,4987.6264
Jamaica,22.574,38.987,25.583,34.287,44.598,43.084,53.864,47.025,29.083,37.9705,36.8774,30.775,37.123,37.4471,21.3066,34.2777,40.1196,20.1766,31.8915,25.0842,20.5548,24.0073,23.7159,19.8292,21.0512,20.0121,18.0447,19.0548,17.8543,22.8793
Kenya,1485.135,1514.047,1315.548,1328.112,1663.131,1664.234,1246.753,881.965,1172.882,1501.891,1001.8641,990.531,945.402,673.422,735.583,660.135,826.08,652.105,541.075,629.74,640.8736,757.3153,875.4455,842.9501,769.7629,799.1671,792.7675,789.5168,930.4196,843.7079
Lao People's Democratic Republic,0,0,0,0,0,0,0,0,171.424,238.772,212.185,258.1452,402.0043,361.4625,379.4417,279.646,391.0986,393.123,405.6104,433.8689,544.3616,514.0001,540.5023,544.4172,552.4924,535.1587,510.3258,533.3697,646.783,621.8446
Liberia,3,3,3,5,5,5,5,5,17.779,12.163,12.305,11.833,12.482,5.08,5.78,5.361,6.7276,6.8511,12.4117,12.692,10.4386,10.2354,10.1213,5.939,7.0733,10.0467,12.0867,16.305,5.9367,5.85
Mexico,4674.245,4727.206,3400.811,5023.488,4158.777,5299.888,5109.551,4801.561,4801.348,6218.6765,4814.9789,4438.404,4351.426,4201.0193,3867.3474,4224.6637,4200.3381,4150.3183,4650.6492,4108.6243,4001.4319,4561.0578,4326.9422,3916.4766,3636.4007,2772.0393,3635.2949,4484.5814,4350.7012,3984.6011
Nepal,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.95,1.3,2.25,1.2574,1.4624,1.1083,3.0825,2.0111,1.2073,0.9054,2.1378,1.6763,1.4328,2.4527,0.5492,0.6943
Nicaragua,461.078,707.067,547.294,706.13,682.969,984.676,793.305,1083.523,1073.08,1554.0548,1572.4326,1078.752,1170.017,1509.098,1068.077,1431.8115,1427.9262,1905.6714,1444.7342,1871.1206,1637.8216,2193.421,1873.4749,2059.8628,1897.6828,2130.4221,2555.2981,2642.2854,2879.1004,2882.3199
Nigeria,29.19,44.313,48.882,45.319,51.631,53.038,45.975,44.667,53.405,45.067,49.431,44.003,49.815,46.1504,45.1379,68.5718,50.7351,42.1658,50.0048,34.2687,42.0553,46.8796,40.7637,40.8582,42.7982,41.2782,43.3182,42.2881,41.5248,42.4695
Panama,214.987,192.532,196.978,142.066,248.313,209.448,210.742,217.469,191.996,166.381,170.226,159.939,139.962,172.062,90.3892,176.3307,173.1015,176.0553,149.1609,137.7393,113.8499,105.6314,115.5198,113.4685,106.2169,127.0784,120.1902,104.5621,127.7443,114.4053
Sierra Leone,42.783,54.379,39.084,37.451,72.738,43.768,40.91,49.679,26.882,59.02,49.155,79.2,41.7289,35.5163,14.5255,59.9662,31.472,40.0011,86.2856,90.7017,32.9146,78.2979,61.1833,31.7346,46.4478,45.9276,37.9217,37.9464,44.7431,39.9871
Sri Lanka,95.87,81.549,53.181,53.79,42.448,35.595,36.999,57.584,45.738,31.716,33.28,31.531,34.3807,36.8942,31.6437,34.9432,32.875,33.4906,30.8644,31.5032,37.0877,35.6993,35.2484,37.0825,35.7018,36.1933,36.7161,36.7829,35.8776,36.2187
